date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:33:43	170/170	---MC-	200	added ('OK')	text/plain	date:Thu,%2030%20Jan%202025%2010:03:43%20GMT	https://towasales.in/robots.txt		(from )
15:33:44	74681/74681	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Jan%202025%2010:03:43%20GMT	https://towasales.in/	D:/Projects/Client/PhotoVision/PhotoVision/towasales.in/index.html	(from )
15:33:45	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2030%20Jan%202025%2010:03:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Projects/Client/PhotoVision/PhotoVision/www.googletagmanager.com/gtm.05445.delayed	(from https://towasales.in/)
15:33:45	4335/4335	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Oct%202022%2007:59:48%20GMT	https://towasales.in/cgi-sys/images/404top_w.jpg	D:/Projects/Client/PhotoVision/PhotoVision/towasales.in/cgi-sys/images/404top_w.jpg	(from https://towasales.in/)
15:33:46	120/120	---M--	200	added ('OK')	image/gif	date:Mon,%2003%20Oct%202022%2020:27:31%20GMT	https://towasales.in/cgi-sys/images/404mid.gif	D:/Projects/Client/PhotoVision/PhotoVision/towasales.in/cgi-sys/images/404mid.gif	(from https://towasales.in/)
15:33:46	537/537	---M--	200	added ('OK')	image/gif	date:Mon,%2003%20Oct%202022%2020:26:56%20GMT	https://towasales.in/cgi-sys/images/404bottom.gif	D:/Projects/Client/PhotoVision/PhotoVision/towasales.in/cgi-sys/images/404bottom.gif	(from https://towasales.in/)
15:33:47	1353/1353	---M--	200	added ('OK')	application/javascript	date:Mon,%2016%20Dec%202024%2023:27:28%20GMT	https://towasales.in/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	D:/Projects/Client/PhotoVision/PhotoVision/towasales.in/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	(from https://towasales.in/)
15:33:47	2914/2914	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Nov%202023%2009:32:45%20GMT	https://towasales.in/wp-content/uploads/2023/07/visionix.png	D:/Projects/Client/PhotoVision/PhotoVision/towasales.in/wp-content/uploads/2023/07/visionix.png	(from https://towasales.in/)
15:33:49	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css?ver=6.7.1	D:/Projects/Client/PhotoVision/PhotoVision/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min9704.css	(from https://towasales.in/)
15:33:50	281733/281733	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202025%2010:03:43%20GMT	https://towasales.in/wp-content/litespeed/css/81d0ff45c0f56d577f5c52893da9e4c6.css?ver=9e4c6	D:/Projects/Client/PhotoVision/PhotoVision/towasales.in/wp-content/litespeed/css/81d0ff45c0f56d577f5c52893da9e4c6a8b7.css	(from https://towasales.in/)
15:33:50	1053/1053	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2024%20Jan%202025%2011:26:36%20GMT	https://towasales.in/feed/	D:/Projects/Client/PhotoVision/PhotoVision/towasales.in/feed/index.html	(from https://towasales.in/)
15:33:50	741/741	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2024%20Jan%202025%2011:26:36%20GMT	https://towasales.in/comments/feed/	D:/Projects/Client/PhotoVision/PhotoVision/towasales.in/comments/feed/index.html	(from https://towasales.in/)
15:33:51	3392/3392	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202025%2010:03:43%20GMT	https://towasales.in/wp-content/litespeed/css/e426aa35298fb873b20e39928bbfcdf7.css?ver=fcdf7	D:/Projects/Client/PhotoVision/PhotoVision/towasales.in/wp-content/litespeed/css/e426aa35298fb873b20e39928bbfcdf753b0.css	(from https://towasales.in/)
15:33:52	16516/16516	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202025%2010:03:43%20GMT	https://towasales.in/wp-content/litespeed/css/3080251beaca33ed232c8c6241af27b7.css?ver=f27b7	D:/Projects/Client/PhotoVision/PhotoVision/towasales.in/wp-content/litespeed/css/3080251beaca33ed232c8c6241af27b774db.css	(from https://towasales.in/)
